spec,maxl,maxw,maxth,maxstl,maxstw,site,region
fs101,69.48,26.9,7.55,9.23,16.52,Cooper,east
fs1035,50.1,25.6,8.01,20.97,20.57,Cooper,east
fs109,57.72,28.7,9.54,11.01,19.01,Cooper,east
fs110,67.6,48.98,10.35,18,27.24,Cooper,east
fs112,35.73,22.53,8,14.16,15.2,Cooper,east
fs112,48.43,25.37,8.59,14.58,19.22,Cooper,east
fs116,58.05,24.14,8.95,14.32,18.5,Cooper,east
fs1190,64.41,31.18,11.83,19.59,24.9,Cooper,east
fs1191,58.58,37.93,9.84,21.38,27.71,Cooper,east
fs1198,44.81,27.68,7.2,18.35,17.35,Cooper,east
fs125,44.35,30.36,11.09,11.33,19.83,Cooper,east
fs1279,68.54,39.59,10.17,21.52,27.15,Cooper,east
fs1352,90.95,31.13,9.3,22.98,18.29,Cooper,east
fs1363,117.24,34.4,15.5,24.74,28.55,Cooper,east
fs1420,49.16,27.8,7.12,18.09,21.64,Cooper,east
fs143,59.18,35.57,10.23,16.67,26.78,Cooper,east
fs144,60.16,21.35,6.97,12.23,12.71,Cooper,east
fs1462,41.77,27.23,6.21,17.17,19.07,Cooper,east
fs1537,69.44,32.76,11.77,20.15,26.78,Cooper,east
fs1558,51.22,36.63,9.18,18.45,27.37,Cooper,east
fs167,62.11,22.13,12.15,12.84,13.79,Cooper,east
fs168,41,19.43,7.39,15.56,13.25,Cooper,east
fs169,35.01,20.64,6.33,11.08,14.06,Cooper,east
fs170,40.11,20.57,8.16,13.69,12.45,Cooper,east
fs1711,61.26,37.7,9.43,16.74,25.38,Cooper,east
fs177,44.25,25.68,7.81,8.73,13.55,Cooper,east
fs1806,64.93,31.52,10.06,15.94,17.94,Cooper,east
fs182,48,25.29,9.3,15.73,16.89,Cooper,east
fs184,52.54,21.46,8.15,10.52,13.3,Cooper,east
fs1865,60.51,42.46,12.02,19.76,26.92,Cooper,east
fs1873,70.86,28.96,11.56,17.8,23.12,Cooper,east
fs190,60.69,32.08,8.29,17.63,24.03,Cooper,east
fs193,43.04,21.95,9.08,16.59,15.67,Cooper,east
fs194,48.85,29.37,7.45,17.92,17.56,Cooper,east
fs203,60.77,28.21,8.43,14.7,15.56,Cooper,east
fs2205,66.48,35.08,10.86,16.46,21.99,Cooper,east
fs2240,55.12,28.98,9.84,20.62,23.76,Cooper,east
fs225,35.42,29.67,8.59,12.39,22.23,Cooper,east
fs225,35.73,22.99,7.33,15.28,18.88,Cooper,east
fs225,57.26,24.05,8.46,14.43,14.82,Cooper,east
fs229,71.18,36.37,10.79,12.68,18.57,Cooper,east
fs315,66.79,21.75,8.43,17.07,12.86,Cooper,east
fs320,43.85,24.64,8.92,19.39,17.75,Cooper,east
fs321,65.6,56.86,12.09,14.82,20.21,Cooper,east
fs389,78.63,27.02,8.23,16.56,18.67,Cooper,east
fs406,80.7,37.22,11.55,22.54,30.62,Cooper,east
fs480,60.79,29.73,9.79,17.44,21.45,Cooper,east
fs500,50.58,24.45,8.27,8.07,18.19,Cooper,east
fs536,54.69,26.16,8.34,24.14,20.9,Cooper,east
fs541,34.76,23.45,6.92,13.41,16.84,Cooper,east
fs551,50.96,34,10.24,10.6,18.88,Cooper,east
fs557,49.93,32.96,6.02,12.81,16.87,Cooper,east
fs566,55.03,31.47,6.35,18.73,20.91,Cooper,east
fs569,41.69,19.1,7.83,15.05,16.64,Cooper,east
fs571,40.67,24.58,7.76,19.39,22.16,Cooper,east
fs573,59.71,27.27,12.02,16.44,21.72,Cooper,east
fs582,80.61,34.98,11.19,15.71,19.77,Cooper,east
fs583,60.88,27.8,9.27,17.31,15.95,Cooper,east
fs586,44.96,28.49,8.37,15.05,20.02,Cooper,east
fs587,59.34,27.66,9.96,18.65,20.42,Cooper,east
fs607,47.39,31.11,8.5,12.22,17.39,Cooper,east
fs629,56.38,18.68,9.86,21.09,15.12,Cooper,east
fs630,46.44,18.19,7.44,9.43,15.38,Cooper,east
fs631,46.01,26.23,6.43,14.74,16.02,Cooper,east
fs632,49.19,20.91,7.07,10.46,12.09,Cooper,east
fs633,48.14,25.58,8.26,17.31,16.28,Cooper,east
fs636,65.19,25.56,10.63,17.78,18.6,Cooper,east
fs638,52.03,18.21,8.73,11.29,14.45,Cooper,east
fs639,52.44,24.23,9.44,12.52,15.29,Cooper,east
fs640,57.54,20.02,10.33,11.75,14.45,Cooper,east
fs643,41.35,18.62,7.33,7,9.41,Cooper,east
fs649,50.48,24.51,10.55,14.59,16.96,Cooper,east
fs662,57.07,31.16,7.21,14.9,18.75,Cooper,east
fs762,73.58,36.39,10.59,22.22,29.03,Cooper,east
fs778,49.22,22.17,10.69,12.58,18.5,Cooper,east
fs781,58.01,23.86,8.34,10.48,15.21,Cooper,east
fs786,50.26,20.73,7.49,10.2,13.71,Cooper,east
fs800,78.7,38.94,13.91,12.47,25.1,Cooper,east
fs805,56.17,27.75,9.13,12.04,18.74,Cooper,east
fs810,57.79,29.93,6.6,14.61,19.46,Cooper,east
fs819,44.05,25.45,5.95,13.55,18.03,Cooper,east
fs865,34.28,16.1,8.01,16.44,14.28,Cooper,east
fs896,68.54,36.57,9.78,13.64,23.02,Cooper,east
fs897,49.88,17.41,7.67,17.64,13.48,Cooper,east
fs91,52.76,29.83,6.73,16.98,19.59,Cooper,east
fs92,51.66,20.05,8.99,9.44,13.96,Cooper,east
fs93,45.26,32.32,8.22,13.57,17.76,Cooper,east
fs95,55.6,23.98,7.45,11.76,15.96,Cooper,east
fs97,74.29,39.11,17.96,15.98,28.87,Cooper,east
fs97,38.44,33.36,6.89,12.7,18.57,Cooper,east
fs120,39.22,18.81,6.97,16.98,15.23,Means,west
fs176,52.32,21.2,7.05,13.34,13.87,Means,west
fs204,50.54,19.13,7.45,10.26,13.07,Means,west
fs204-1,44.57,19.57,7.91,11.34,11.3,Means,west
fs205,47.28,27.62,7.56,13.14,17.17,Means,west
fs219,69.4,26.26,7.23,14.75,16.85,Means,west
fs315,62.41,24.32,8.86,15.7,18.26,Means,west
fs325,45.26,20.02,6.57,14.85,16.06,Means,west
fs335,65.44,23.75,11.6,13.93,14.98,Means,west
fs346,38.09,19.51,6.53,15.55,13.9,Means,west
fs358,50.84,20.76,5.87,14.45,14.15,Means,west
fs359,53.56,44.22,8.06,16.45,19.58,Means,west
fs367,36.82,24.93,7.11,6.95,14.88,Means,west
fs378,42.86,20.04,8.85,16.09,16.58,Means,west
fs394,49.62,20.37,8.72,14.56,14.66,Means,west
fs411,43.46,22.3,7.23,19.36,18.45,Means,west
fs419,48.66,21.47,6.74,6.81,12.42,Means,west
fs425,46.25,19.13,8.02,6.97,9.68,Means,west
fs425,35.98,18.87,5.9,9.42,11.85,Means,west
fs441,48.54,30.06,9.23,11.04,19.05,Means,west
fs450,47.33,22.18,7.23,9.53,14.94,Means,west
fs451,50.74,18.45,6.5,10.83,10.94,Means,west
fs480,53.21,22.38,8.39,15.37,16.14,Means,west
fs500,43.07,19.02,5.97,11.16,11.21,Means,west
